Date,Province,Region,Last Update,Confirmed,Deaths,Recovered
2/7/2020 20:13,Hubei,Mainland China,2/7/20 14:03,22112,618,867
2/7/2020 20:13,Guangdong,Mainland China,2/7/20 10:13,1034,1,88
2/7/2020 20:13,Zhejiang,Mainland China,2/7/20 11:33,1006,0,123
2/7/2020 20:13,Henan,Mainland China,2/7/20 14:03,914,3,86
2/7/2020 20:13,Hunan,Mainland China,2/7/20 11:33,772,0,112
2/7/2020 20:13,Anhui,Mainland China,2/7/20 5:13,665,0,47
2/7/2020 20:13,Jiangxi,Mainland China,2/7/20 1:23,661,0,45
2/7/2020 20:13,Chongqing,Mainland China,2/7/20 12:03,415,2,31
2/7/2020 20:13,Jiangsu,Mainland China,2/7/20 14:03,408,0,43
2/7/2020 20:13,Shandong,Mainland China,2/7/20 11:33,386,0,37
2/7/2020 20:13,Sichuan,Mainland China,2/7/20 8:23,344,1,42
2/7/2020 20:13,Beijing,Mainland China,2/7/20 3:23,297,1,33
2/7/2020 20:13,Heilongjiang,Mainland China,2/7/20 7:43,277,3,12
2/7/2020 20:13,Shanghai,Mainland China,2/7/20 6:14,277,1,30
2/7/2020 20:13,Fujian,Mainland China,2/7/20 13:23,224,0,20
2/7/2020 20:13,Shaanxi,Mainland China,2/7/20 8:23,184,0,17
2/7/2020 20:13,Guangxi,Mainland China,2/7/20 0:33,172,0,17
2/7/2020 20:13,Hebei,Mainland China,2/7/20 12:03,172,1,22
2/7/2020 20:13,Yunnan,Mainland China,2/7/20 23:23,138,0,12
2/7/2020 20:13,Hainan,Mainland China,2/7/20 12:33,117,2,10
2/7/2020 20:13,Liaoning,Mainland China,2/7/20 15:33,99,0,7
2/7/2020 20:13,Shanxi,Mainland China,2/7/20 12:33,96,0,15
2/7/2020 20:13,Guizhou,Mainland China,2/7/20 11:13,81,1,6
2/7/2020 20:13,Tianjin,Mainland China,2/7/20 5:43,81,1,2
2/7/2020 20:13,Gansu,Mainland China,2/7/20 2:33,67,0,9
2/7/2020 20:13,Jilin,Mainland China,2/7/20 0:43,65,1,4
2/7/2020 20:13,Cruise Ship,Others,2/7/20 16:33,61,0,0
2/7/2020 20:13,Inner Mongolia,Mainland China,2/7/20 11:13,50,0,5
2/7/2020 20:13,Ningxia,Mainland China,2/7/20 11:13,43,0,5
2/7/2020 20:13,Xinjiang,Mainland China,2/7/20 1:43,39,0,0
2/7/2020 20:13,,Singapore,2/7/20 3:03,30,0,0
2/7/2020 20:13,Hong Kong,Hong Kong,2/7/20 11:53,25,1,0
2/7/2020 20:13,,Japan,2/7/20 4:13,25,0,1
2/7/2020 20:13,,Thailand,2/4/20 15:33,25,0,5
2/7/2020 20:13,,South Korea,2/7/20 3:03,24,0,1
2/7/2020 20:13,Qinghai,Mainland China,2/6/20 2:13,18,0,3
2/7/2020 20:13,Taiwan,Taiwan,2/6/20 15:03,16,0,1
2/7/2020 20:13,,Germany,2/7/20 16:33,13,0,0
2/7/2020 20:13,,Malaysia,2/7/20 9:13,12,0,1
2/7/2020 20:13,Macau,Macau,2/6/20 14:23,10,0,1
2/7/2020 20:13,,Vietnam,2/6/20 1:13,10,0,1
2/7/2020 20:13,,France,2/1/20 1:52,6,0,0
2/7/2020 20:13,Queensland,Australia,2/7/20 1:03,5,0,0
2/7/2020 20:13,,United Arab Emirates,2/2/20 5:43,5,0,0
2/7/2020 20:13,New South Wales,Australia,2/6/20 3:13,4,0,2
2/7/2020 20:13,Victoria,Australia,2/1/20 18:12,4,0,0
2/7/2020 20:13,British Columbia,Canada,2/7/20 5:43,4,0,0
2/7/2020 20:13,,India,2/3/20 21:43,3,0,0
2/7/2020 20:13,,Italy,2/7/20 17:53,3,0,0
2/7/2020 20:13,,Philippines,2/7/20 16:43,3,1,0
2/7/2020 20:13,,UK,2/7/20 18:33,3,0,0
2/7/2020 20:13,South Australia,Australia,2/2/20 22:33,2,0,0
2/7/2020 20:13,"Toronto, ON",Canada,2/4/20 0:13,2,0,0
2/7/2020 20:13,,Russia,1/31/20 16:13,2,0,0
2/7/2020 20:13,"Chicago, IL",US,2/1/20 19:43,2,0,0
2/7/2020 20:13,"San Benito, CA",US,2/3/20 3:53,2,0,0
2/7/2020 20:13,"Santa Clara, CA",US,2/3/20 0:43,2,0,0
2/7/2020 20:13,,Belgium,2/4/20 15:43,1,0,0
2/7/2020 20:13,,Cambodia,1/31/20 8:15,1,0,0
2/7/2020 20:13,"London, ON",Canada,2/4/20 0:03,1,0,0
2/7/2020 20:13,,Finland,1/31/20 8:15,1,0,0
2/7/2020 20:13,Tibet,Mainland China,2/1/20 1:52,1,0,0
2/7/2020 20:13,,Nepal,1/31/20 8:15,1,0,0
2/7/2020 20:13,,Spain,2/1/20 23:43,1,0,0
2/7/2020 20:13,,Sri Lanka,1/31/20 8:15,1,0,0
2/7/2020 20:13,,Sweden,2/1/20 2:13,1,0,0
2/7/2020 20:13,"Boston, MA",US,2/1/20 19:43,1,0,0
2/7/2020 20:13,"Los Angeles, CA",US,2/1/20 19:53,1,0,0
2/7/2020 20:13,"Madison, WI",US,2/5/20 21:53,1,0,0
2/7/2020 20:13,"Orange, CA",US,2/1/20 19:53,1,0,0
2/7/2020 20:13,"Seattle, WA",US,2/1/20 19:43,1,0,0
2/7/2020 20:13,"Tempe, AZ",US,2/1/20 19:43,1,0,0
2/6/2020 13:18,Hubei,Mainland China,2/6/2020 12:33,19665,549,712
2/6/2020 13:18,Guangdong,Mainland China,2/6/2020 12:43,970,0,69
2/6/2020 13:18,Zhejiang,Mainland China,2/6/2020 10:53,954,0,94
2/6/2020 13:18,Henan,Mainland China,2/6/2020 11:23,851,2,56
2/6/2020 13:18,Hunan,Mainland China,2/6/2020 13:13,711,0,81
2/6/2020 13:18,Jiangxi,Mainland China,2/6/2020 2:33,600,0,37
2/6/2020 13:18,Anhui,Mainland China,2/6/2020 13:33,591,0,34
2/6/2020 13:18,Chongqing,Mainland China,2/6/2020 13:43,400,2,24
2/6/2020 13:18,Jiangsu,Mainland China,2/6/2020 8:03,373,0,34
2/6/2020 13:18,Shandong,Mainland China,2/6/2020 7:53,347,0,27
2/6/2020 13:18,Sichuan,Mainland China,2/6/2020 8:03,321,1,31
2/6/2020 13:18,Beijing,Mainland China,2/6/2020 3:23,274,1,31
2/6/2020 13:18,Shanghai,Mainland China,2/6/2020 6:53,257,1,25
2/6/2020 13:18,Heilongjiang,Mainland China,2/6/2020 8:13,227,3,8
2/6/2020 13:18,Fujian,Mainland China,2/6/2020 11:03,215,0,14
2/6/2020 13:18,Shaanxi,Mainland China,2/6/2020 13:53,173,0,9
2/6/2020 13:18,Guangxi,Mainland China,2/6/2020 4:13,168,0,14
2/6/2020 13:18,Hebei,Mainland China,2/6/2020 13:53,157,1,13
2/6/2020 13:18,Yunnan,Mainland China,2/6/2020 9:43,133,0,7
2/6/2020 13:18,Hainan,Mainland China,2/6/2020 11:13,106,1,8
2/6/2020 13:18,Liaoning,Mainland China,2/6/2020 14:33,94,0,5
2/6/2020 13:18,Shanxi,Mainland China,2/6/2020 14:13,90,0,12
2/6/2020 13:18,Tianjin,Mainland China,2/6/2020 6:23,78,1,2
2/6/2020 13:18,Guizhou,Mainland China,2/6/2020 9:53,71,1,6
2/6/2020 13:18,Gansu,Mainland China,2/5/2020 16:23,62,0,6
2/6/2020 13:18,Jilin,Mainland China,2/6/2020 14:23,59,0,4
2/6/2020 13:18,Inner Mongolia,Mainland China,2/6/2020 2:23,46,0,4
2/6/2020 13:18,,Japan,2/6/2020 2:53,45,0,1
2/6/2020 13:18,Ningxia,Mainland China,2/6/2020 2:13,40,0,1
2/6/2020 13:18,Xinjiang,Mainland China,2/6/2020 1:13,36,0,0
2/6/2020 13:18,,Singapore,2/5/2020 16:33,28,0,0
2/6/2020 13:18,,Thailand,2/4/2020 15:33,25,0,5
2/6/2020 13:18,Hong Kong,Hong Kong,2/6/2020 14:43,24,1,0
2/6/2020 13:18,,South Korea,2/6/2020 2:53,23,0,0
2/6/2020 13:18,Qinghai,Mainland China,2/6/2020 2:13,18,0,3
2/6/2020 13:18,Taiwan,Taiwan,2/6/2020 15:03,16,0,1
2/6/2020 13:18,,Germany,2/3/2020 20:53,12,0,0
2/6/2020 13:18,,Malaysia,2/5/2020 15:43,12,0,0
2/6/2020 13:18,Macau,Macau,2/6/2020 14:23,10,0,1
2/6/2020 13:18,,Vietnam,2/6/2020 1:13,10,0,1
2/6/2020 13:18,,France,2/1/2020 1:52,6,0,0
2/6/2020 13:18,,United Arab Emirates,2/2/2020 5:43,5,0,0
2/6/2020 13:18,New South Wales,Australia,2/6/2020 3:13,4,0,2
2/6/2020 13:18,Queensland,Australia,2/6/2020 2:53,4,0,0
2/6/2020 13:18,Victoria,Australia,2/1/2020 18:12,4,0,0
2/6/2020 13:18,,India,2/3/2020 21:43,3,0,0
2/6/2020 13:18,South Australia,Australia,2/2/2020 22:33,2,0,0
2/6/2020 13:18,British Columbia,Canada,2/5/2020 17:33,2,0,0
2/6/2020 13:18,"Toronto, ON",Canada,2/4/2020 0:13,2,0,0
2/6/2020 13:18,,Italy,1/31/2020 8:15,2,0,0
2/6/2020 13:18,,Philippines,2/2/2020 3:33,2,1,0
2/6/2020 13:18,,Russia,1/31/2020 16:13,2,0,0
2/6/2020 13:18,,UK,2/1/2020 1:52,2,0,0
2/6/2020 13:18,"Chicago, IL",US,2/1/2020 19:43,2,0,0
2/6/2020 13:18,"San Benito, CA",US,2/3/2020 3:53,2,0,0
