"","Region","Date","Confirmed","Recovered","Deaths","day"
"1","Australia",2020-01-23,0,0,0,1
"2","Australia",2020-01-25,1,0,0,3
"3","Australia",2020-01-26,4,0,0,4
"4","Australia",2020-01-27,5,0,0,5
"5","Australia",2020-01-28,5,0,0,6
"6","Australia",2020-01-29,5,0,0,7
"7","Australia",2020-01-30,9,2,0,8
"8","Australia",2020-01-31,9,2,0,9
"9","Australia",2020-02-01,12,2,0,10
"10","Australia",2020-02-02,12,2,0,11
"11","Australia",2020-02-03,12,2,0,12
"12","Australia",2020-02-04,13,2,0,13
"13","Australia",2020-02-05,13,2,0,14
"14","Australia",2020-02-06,14,2,0,15
"15","Australia",2020-02-07,15,2,0,16
"16","Belgium",2020-02-04,1,0,0,13
"17","Belgium",2020-02-05,1,0,0,14
"18","Belgium",2020-02-06,1,0,0,15
"19","Belgium",2020-02-07,1,0,0,16
"20","Brazil",2020-01-23,0,0,0,1
"21","Cambodia",2020-01-27,1,0,0,5
"22","Cambodia",2020-01-28,1,0,0,6
"23","Cambodia",2020-01-29,1,0,0,7
"24","Cambodia",2020-01-30,1,0,0,8
"25","Cambodia",2020-01-31,1,0,0,9
"26","Cambodia",2020-02-01,1,0,0,10
"27","Cambodia",2020-02-02,1,0,0,11
"28","Cambodia",2020-02-03,1,0,0,12
"29","Cambodia",2020-02-04,1,0,0,13
"30","Cambodia",2020-02-05,1,0,0,14
"31","Cambodia",2020-02-06,1,0,0,15
"32","Cambodia",2020-02-07,1,0,0,16
"33","Canada",2020-01-26,1,0,0,4
"34","Canada",2020-01-27,1,0,0,5
"35","Canada",2020-01-28,2,0,0,6
"36","Canada",2020-01-29,3,0,0,7
"37","Canada",2020-01-30,3,0,0,8
"38","Canada",2020-01-31,3,0,0,9
"39","Canada",2020-02-01,4,0,0,10
"40","Canada",2020-02-02,4,0,0,11
"41","Canada",2020-02-03,4,0,0,12
"42","Canada",2020-02-04,4,0,0,13
"43","Canada",2020-02-05,4,0,0,14
"44","Canada",2020-02-06,5,0,0,15
"45","Canada",2020-02-07,7,0,0,16
"46","Colombia",2020-01-23,0,0,0,1
"47","Finland",2020-01-30,1,0,0,8
"48","Finland",2020-01-31,1,0,0,9
"49","Finland",2020-02-01,1,0,0,10
"50","Finland",2020-02-02,1,0,0,11
"51","Finland",2020-02-03,1,0,0,12
"52","Finland",2020-02-04,1,0,0,13
"53","Finland",2020-02-05,1,0,0,14
"54","Finland",2020-02-06,1,0,0,15
"55","Finland",2020-02-07,1,0,0,16
"56","France",2020-01-25,3,0,0,3
"57","France",2020-01-26,3,0,0,4
"58","France",2020-01-27,3,0,0,5
"59","France",2020-01-28,3,0,0,6
"60","France",2020-01-29,4,0,0,7
"61","France",2020-01-30,5,0,0,8
"62","France",2020-01-31,5,0,0,9
"63","France",2020-02-01,6,0,0,10
"64","France",2020-02-02,6,0,0,11
"65","France",2020-02-03,6,0,0,12
"66","France",2020-02-04,6,0,0,13
"67","France",2020-02-05,6,0,0,14
"68","France",2020-02-06,6,0,0,15
"69","France",2020-02-07,6,0,0,16
"70","Germany",2020-01-28,1,0,0,6
"71","Germany",2020-01-29,4,0,0,7
"72","Germany",2020-01-30,4,0,0,8
"73","Germany",2020-01-31,5,0,0,9
"74","Germany",2020-02-01,7,0,0,10
"75","Germany",2020-02-02,10,0,0,11
"76","Germany",2020-02-03,12,0,0,12
"77","Germany",2020-02-04,12,0,0,13
"78","Germany",2020-02-05,12,0,0,14
"79","Germany",2020-02-06,12,0,0,15
"80","Germany",2020-02-07,13,0,0,16
"81","Hong Kong",2020-01-23,2,0,0,1
"82","Hong Kong",2020-01-24,2,0,0,2
"83","Hong Kong",2020-01-25,5,0,0,3
"84","Hong Kong",2020-01-26,8,0,0,4
"85","Hong Kong",2020-01-27,8,0,0,5
"86","Hong Kong",2020-01-28,8,0,0,6
"87","Hong Kong",2020-01-29,10,0,0,7
"88","Hong Kong",2020-01-30,10,0,0,8
"89","Hong Kong",2020-01-31,12,0,0,9
"90","Hong Kong",2020-02-01,13,0,0,10
"91","Hong Kong",2020-02-02,15,0,0,11
"92","Hong Kong",2020-02-03,15,0,0,12
"93","Hong Kong",2020-02-04,18,0,1,13
"94","Hong Kong",2020-02-05,21,0,1,14
"95","Hong Kong",2020-02-06,24,0,1,15
"96","Hong Kong",2020-02-07,25,0,1,16
"97","India",2020-01-30,1,0,0,8
"98","India",2020-01-31,1,0,0,9
"99","India",2020-02-01,1,0,0,10
"100","India",2020-02-02,2,0,0,11
"101","India",2020-02-03,3,0,0,12
"102","India",2020-02-04,3,0,0,13
"103","India",2020-02-05,3,0,0,14
"104","India",2020-02-06,3,0,0,15
"105","India",2020-02-07,3,0,0,16
"106","Italy",2020-01-31,2,0,0,9
"107","Italy",2020-02-01,2,0,0,10
"108","Italy",2020-02-02,2,0,0,11
"109","Italy",2020-02-03,2,0,0,12
"110","Italy",2020-02-04,2,0,0,13
"111","Italy",2020-02-05,2,0,0,14
"112","Italy",2020-02-06,2,0,0,15
"113","Italy",2020-02-07,3,0,0,16
"114","Japan",2020-01-22,1,0,0,0
"115","Japan",2020-01-22,2,0,0,0
"116","Japan",2020-01-23,1,0,0,1
"117","Japan",2020-01-24,2,0,0,2
"118","Japan",2020-01-25,2,0,0,3
"119","Japan",2020-01-26,4,1,0,4
"120","Japan",2020-01-27,4,1,0,5
"121","Japan",2020-01-28,7,1,0,6
"122","Japan",2020-01-29,7,1,0,7
"123","Japan",2020-01-30,11,1,0,8
"124","Japan",2020-01-31,15,1,0,9
"125","Japan",2020-02-01,17,1,0,10
"126","Japan",2020-02-02,20,1,0,11
"127","Japan",2020-02-03,20,1,0,12
"128","Japan",2020-02-04,22,1,0,13
"129","Japan",2020-02-05,22,1,0,14
"130","Japan",2020-02-06,45,1,0,15
"131","Japan",2020-02-07,25,1,0,16
"132","Macau",2020-01-23,2,0,0,1
"133","Macau",2020-01-24,2,0,0,2
"134","Macau",2020-01-25,2,0,0,3
"135","Macau",2020-01-26,5,0,0,4
"136","Macau",2020-01-27,6,0,0,5
"137","Macau",2020-01-28,7,0,0,6
"138","Macau",2020-01-29,7,0,0,7
"139","Macau",2020-01-30,7,0,0,8
"140","Macau",2020-01-31,7,0,0,9
"141","Macau",2020-02-01,7,0,0,10
"142","Macau",2020-02-02,8,0,0,11
"143","Macau",2020-02-03,8,0,0,12
"144","Macau",2020-02-04,10,0,0,13
"145","Macau",2020-02-05,10,0,0,14
"146","Macau",2020-02-06,10,1,0,15
"147","Macau",2020-02-07,10,1,0,16
"148","Mainland China",2020-01-22,327,0,6,0
"149","Mainland China",2020-01-22,549,0,9,0
"150","Mainland China",2020-01-23,639,30,18,1
"151","Mainland China",2020-01-24,865,34,26,2
"152","Mainland China",2020-01-25,1320,38,41,3
"153","Mainland China",2020-01-26,2062,49,56,4
"154","Mainland China",2020-01-27,2825,56,81,5
"155","Mainland China",2020-01-28,4610,73,106,6
"156","Mainland China",2020-01-29,6070,106,132,7
"157","Mainland China",2020-01-30,8124,135,171,8
"158","Mainland China",2020-01-31,9783,214,213,9
"159","Mainland China",2020-02-01,11860,275,259,10
"160","Mainland China",2020-02-02,16643,463,361,11
"161","Mainland China",2020-02-03,20400,635,425,12
"162","Mainland China",2020-02-04,24290,890,490,13
"163","Mainland China",2020-02-05,24405,1020,492,14
"164","Mainland China",2020-02-06,28088,1371,563,15
