"","Province.State","Country.Region","First.confirmed.date.in.country..Est..","Lat","Long","Date","Confirmed"
"1","Anhui","Mainland China","1/3/2020",31.82571,117.2264,2020-01-21,0
"2","Beijing","Mainland China","1/3/2020",40.18238,116.4142,2020-01-21,10
"3","Chongqing","Mainland China","1/3/2020",30.05718,107.874,2020-01-21,5
"4","Fujian","Mainland China","1/3/2020",26.07783,117.9895,2020-01-21,0
"5","Gansu","Mainland China","1/3/2020",36.0611,103.8343,2020-01-21,0
"6","Guangdong","Mainland China","1/3/2020",23.33841,113.422,2020-01-21,17
"7","Guangxi","Mainland China","1/3/2020",23.82908,108.7881,2020-01-21,0
"8","Guizhou","Mainland China","1/3/2020",26.81536,106.8748,2020-01-21,0
"9","Hainan","Mainland China","1/3/2020",19.19673,109.7455,2020-01-21,0
"10","Hebei","Mainland China","1/3/2020",38.0428,114.5149,2020-01-21,0
"11","Heilongjiang","Mainland China","1/3/2020",47.862,127.7622,2020-01-21,0
"12","Henan","Mainland China","1/3/2020",33.88202,113.614,2020-01-21,0
"13","Hubei","Mainland China","1/3/2020",30.97564,112.2707,2020-01-21,270
"14","Hunan","Mainland China","1/3/2020",27.61041,111.7088,2020-01-21,1
"15","Inner Mongolia","Mainland China","1/3/2020",44.09448,113.9456,2020-01-21,0
"16","Jiangsu","Mainland China","1/3/2020",32.97027,119.464,2020-01-21,0
"17","Jiangxi","Mainland China","1/3/2020",27.61401,115.7221,2020-01-21,2
"18","Jilin","Mainland China","1/3/2020",43.66657,126.1917,2020-01-21,0
"19","Liaoning","Mainland China","1/3/2020",41.29284,122.6086,2020-01-21,0
"20","Ningxia","Mainland China","1/3/2020",37.26923,106.1655,2020-01-21,0
"21","Qinghai","Mainland China","1/3/2020",35.65945,96.02564,2020-01-21,0
"22","Shaanxi","Mainland China","1/3/2020",35.19165,108.8701,2020-01-21,0
"23","Shandong","Mainland China","1/3/2020",36.34377,118.1529,2020-01-21,1
"24","Shanghai","Mainland China","1/3/2020",31.20327,121.4554,2020-01-21,9
"25","Shanxi","Mainland China","1/3/2020",37.57769,112.2922,2020-01-21,0
"26","Sichuan","Mainland China","1/3/2020",30.61714,102.7103,2020-01-21,2
"27","Tianjin","Mainland China","1/3/2020",39.29362,117.333,2020-01-21,2
"28","Tibet","Mainland China","1/3/2020",30.1534,88.7879,2020-01-21,0
"29","Xinjiang","Mainland China","1/3/2020",41.11981,85.17822,2020-01-21,0
"30","Yunnan","Mainland China","1/3/2020",24.97411,101.4868,2020-01-21,1
"31","Zhejiang","Mainland China","1/3/2020",29.18251,120.0985,2020-01-21,5
"32","","Thailand","1/13/2020",13.7563,100.5018,2020-01-21,2
"33","","Japan","1/16/2020",35.6762,139.6503,2020-01-21,1
"34","","South Korea","1/21/2020",37.5665,126.978,2020-01-21,0
"35","Taiwan","Taiwan","1/21/2020",23.6978,120.9605,2020-01-21,1
"36","Seattle, WA","US","1/21/2020",47.7511,-120.74,2020-01-21,1
"37","Chicago, IL","US","1/24/2020",40.6331,-89.3985,2020-01-21,0
"38","California","US","1/26/2020",36.7783,-119.418,2020-01-21,0
"39","Tempe, AZ","US","1/26/2020",34.0489,-111.094,2020-01-21,0
"40","Macau","Macau","1/22/2020",22.1987,113.5439,2020-01-21,0
"41","Hong Kong","Hong Kong","1/23/2020",22.3193,114.1694,2020-01-21,0
"42","","Singapore","1/23/2020",1.3521,103.8198,2020-01-21,0
"43","","Vietnam","1/23/2020",21.0278,105.8342,2020-01-21,0
"44","","France","1/24/2020",46.2276,2.2137,2020-01-21,0
"45","","Nepal","1/25/2020",28.3949,84.124,2020-01-21,0
"46","","Malaysia","1/25/2020",4.2105,101.9758,2020-01-21,0
"47","Toronto, ON","Canada","1/26/2020",43.6532,-79.3832,2020-01-21,0
"48","British Columbia","Canada","1/28/2020",49.2827,-123.121,2020-01-21,0
"49","New South Wales","Australia","1/26/2020",-33.8688,151.2093,2020-01-21,0
"50","Victoria","Australia","1/26/2020",-37.8136,144.9631,2020-01-21,0
"51","Queensland","Australia","1/27/2020",-27.4698,153.0251,2020-01-21,0
"52","","Cambodia","1/27/2020",12.5657,104.991,2020-01-21,0
"53","","Sri Lanka","1/27/2020",7.8731,80.7718,2020-01-21,0
"54","Bavaria","Germany","1/27/2020",51.1657,10.4515,2020-01-21,0
"55","","Finland","1/29/2020",61.9241,25.7482,2020-01-21,0
"56","","United Arab Emirates","1/29/2020",23.4241,53.8478,2020-01-21,0
"57","","Philippines","1/29/2020",12.8797,121.774,2020-01-21,0
"58","","India","1/29/2020",20.5937,78.9629,2020-01-21,0
