Date,Unnamed: 0,index,Unnamed: 0.1,Confirmed,Recovered,Deaths
1/21,308.0,326.0,327.0,1,0,0
1/22,1506.0,1596.0,1603.0,10,0,0
1/23,2453.0,2615.0,2630.0,14,0,0
1/24,1911.0,2019.0,2029.0,16,0,0
1/25,2287.0,2431.0,2444.0,34,0,0
1/26,2332.0,2476.0,2490.0,54,3,0
1/27,2366.0,2510.0,2525.0,61,3,0
1/28,2687.0,2849.0,2866.0,80,6,0
1/29,3002.0,3182.0,3200.0,94,6,0
1/30,3341.0,3539.0,3560.0,111,8,0
1/31,4193.0,4445.0,4470.0,143,8,0
2/1,4448.0,4718.0,4744.0,164,12,0
2/2,4474.0,4744.0,4770.0,180,12,1
2/3,4500.0,4770.0,4796.0,188,12,1
2/4,4541.0,4811.0,4838.0,213,12,2
2/5,4568.0,4838.0,4865.0,225,12,2
2/6,4595.0,4865.0,4892.0,265,14,2
2/7,4799.0,5087.0,5115.0,337,16,2
