"","Date","Confirmed","Recovered","Deaths","day"
"1",2020-01-22,887,0,15,0
"2",2020-01-23,653,30,18,1
"3",2020-01-24,881,34,26,2
"4",2020-01-25,1354,38,41,3
"5",2020-01-26,2116,52,56,4
"6",2020-01-27,2886,59,81,5
"7",2020-01-28,4690,79,106,6
"8",2020-01-29,6164,112,132,7
"9",2020-01-30,8235,143,171,8
"10",2020-01-31,9926,222,213,9
"11",2020-02-01,12024,287,259,10
"12",2020-02-02,16823,472,362,11
"13",2020-02-03,20588,644,426,12
"14",2020-02-04,24503,899,492,13
"15",2020-02-05,24630,1029,494,14
"16",2020-02-06,28353,1382,565,15
"17",2020-02-07,31532,1763,638,16
