,index,Unnamed: 0,Region,Date,Confirmed,Recovered,Deaths
0,0,1,Australia,1/23,0,0,0
,0,1,Australia,1/24,0,0,0
1,1,2,Australia,1/25,1,0,0
2,2,3,Australia,1/26,4,0,0
3,3,4,Australia,1/27,5,0,0
4,4,5,Australia,1/28,5,0,0
5,5,6,Australia,1/29,5,0,0
6,6,7,Australia,1/30,9,2,0
7,7,8,Australia,1/31,9,2,0
8,8,9,Australia,2/1,12,2,0
9,9,10,Australia,2/2,12,2,0
10,10,11,Australia,2/3,12,2,0
11,11,12,Australia,2/4,13,2,0
12,12,13,Australia,2/5,13,2,0
13,13,14,Australia,2/6,14,2,0
14,14,15,Australia,2/7,15,2,0
15,15,16,Belgium,2/4,1,0,0
16,16,17,Belgium,2/5,1,0,0
17,17,18,Belgium,2/6,1,0,0
18,18,19,Belgium,2/7,1,0,0
19,19,20,Brazil,1/23,0,0,0
20,20,21,Cambodia,1/27,1,0,0
21,21,22,Cambodia,1/28,1,0,0
22,22,23,Cambodia,1/29,1,0,0
23,23,24,Cambodia,1/30,1,0,0
24,24,25,Cambodia,1/31,1,0,0
25,25,26,Cambodia,2/1,1,0,0
26,26,27,Cambodia,2/2,1,0,0
27,27,28,Cambodia,2/3,1,0,0
28,28,29,Cambodia,2/4,1,0,0
29,29,30,Cambodia,2/5,1,0,0
30,30,31,Cambodia,2/6,1,0,0
31,31,32,Cambodia,2/7,1,0,0
32,32,33,Canada,1/26,1,0,0
33,33,34,Canada,1/27,1,0,0
34,34,35,Canada,1/28,2,0,0
35,35,36,Canada,1/29,3,0,0
36,36,37,Canada,1/30,3,0,0
37,37,38,Canada,1/31,3,0,0
38,38,39,Canada,2/1,4,0,0
39,39,40,Canada,2/2,4,0,0
40,40,41,Canada,2/3,4,0,0
41,41,42,Canada,2/4,4,0,0
42,42,43,Canada,2/5,4,0,0
43,43,44,Canada,2/6,5,0,0
44,44,45,Canada,2/7,7,0,0
45,45,46,Colombia,1/23,0,0,0
46,46,47,Finland,1/30,1,0,0
47,47,48,Finland,1/31,1,0,0
48,48,49,Finland,2/1,1,0,0
49,49,50,Finland,2/2,1,0,0
50,50,51,Finland,2/3,1,0,0
51,51,52,Finland,2/4,1,0,0
52,52,53,Finland,2/5,1,0,0
53,53,54,Finland,2/6,1,0,0
54,54,55,Finland,2/7,1,0,0
55,55,56,France,1/25,3,0,0
56,56,57,France,1/26,3,0,0
57,57,58,France,1/27,3,0,0
58,58,59,France,1/28,3,0,0
59,59,60,France,1/29,4,0,0
60,60,61,France,1/30,5,0,0
61,61,62,France,1/31,5,0,0
62,62,63,France,2/1,6,0,0
63,63,64,France,2/2,6,0,0
64,64,65,France,2/3,6,0,0
65,65,66,France,2/4,6,0,0
66,66,67,France,2/5,6,0,0
67,67,68,France,2/6,6,0,0
68,68,69,France,2/7,6,0,0
69,69,70,Germany,1/28,1,0,0
70,70,71,Germany,1/29,4,0,0
71,71,72,Germany,1/30,4,0,0
72,72,73,Germany,1/31,5,0,0
73,73,74,Germany,2/1,7,0,0
74,74,75,Germany,2/2,10,0,0
75,75,76,Germany,2/3,12,0,0
76,76,77,Germany,2/4,12,0,0
77,77,78,Germany,2/5,12,0,0
78,78,79,Germany,2/6,12,0,0
79,79,80,Germany,2/7,13,0,0
80,80,81,Hong Kong,1/23,2,0,0
81,81,82,Hong Kong,1/24,2,0,0
82,82,83,Hong Kong,1/25,5,0,0
83,83,84,Hong Kong,1/26,8,0,0
84,84,85,Hong Kong,1/27,8,0,0
85,85,86,Hong Kong,1/28,8,0,0
86,86,87,Hong Kong,1/29,10,0,0
87,87,88,Hong Kong,1/30,10,0,0
88,88,89,Hong Kong,1/31,12,0,0
89,89,90,Hong Kong,2/1,13,0,0
90,90,91,Hong Kong,2/2,15,0,0
91,91,92,Hong Kong,2/3,15,0,0
92,92,93,Hong Kong,2/4,18,0,1
93,93,94,Hong Kong,2/5,21,0,1
94,94,95,Hong Kong,2/6,24,0,1
95,95,96,Hong Kong,2/7,25,0,1
96,96,97,India,1/30,1,0,0
97,97,98,India,1/31,1,0,0
98,98,99,India,2/1,1,0,0
99,99,100,India,2/2,2,0,0
100,100,101,India,2/3,3,0,0
101,101,102,India,2/4,3,0,0
102,102,103,India,2/5,3,0,0
103,103,104,India,2/6,3,0,0
104,104,105,India,2/7,3,0,0
105,105,106,Italy,1/31,2,0,0
106,106,107,Italy,2/1,2,0,0
107,107,108,Italy,2/2,2,0,0
108,108,109,Italy,2/3,2,0,0
109,109,110,Italy,2/4,2,0,0
110,110,111,Italy,2/5,2,0,0
111,111,112,Italy,2/6,2,0,0
112,112,113,Italy,2/7,3,0,0
113,113,114,Japan,1/22,1,0,0
114,114,115,Japan,1/22,2,0,0
115,115,116,Japan,1/23,1,0,0
116,116,117,Japan,1/24,2,0,0
117,117,118,Japan,1/25,2,0,0
118,118,119,Japan,1/26,4,1,0
119,119,120,Japan,1/27,4,1,0
120,120,121,Japan,1/28,7,1,0
121,121,122,Japan,1/29,7,1,0
122,122,123,Japan,1/30,11,1,0
123,123,124,Japan,1/31,15,1,0
124,124,125,Japan,2/1,17,1,0
125,125,126,Japan,2/2,20,1,0
126,126,127,Japan,2/3,20,1,0
127,127,128,Japan,2/4,22,1,0
128,128,129,Japan,2/5,22,1,0
