,date,text
0,Sun Jan 19 23:59:56 +0000 2020,RT @VOANews: China Reports 139 New Coronavirus Cases Over the Weekend https://t.co/bjGSHhtATa
1,Sun Jan 19 23:59:43 +0000 2020,"RT @CBCAlerts: China is reporting 139 new cases of pneumonia, caused by the outbreak of a new coronavirus strain that medical experts are s…"
2,Sun Jan 19 23:59:43 +0000 2020,"RT @dw_espanol: #China 🇨🇳 reportó más casos de pacientes con misterioso brote de #coronavirus

El británico @imperialcollege
 @MRC_Outbreak…"
3,Sun Jan 19 23:59:41 +0000 2020,"RT @ZulmaCucunuba: Como muchos, estoy fascinada 🤩 y algo preocupada 😦 por lo que la ciencia abierta en solo 17 días nos ha permitido entend…"
4,Sun Jan 19 23:59:36 +0000 2020,😷 #coronavirus https://t.co/gJdutUteOe
5,Sun Jan 19 23:59:33 +0000 2020,"RT @dw_espanol: #China 🇨🇳 reportó más casos de pacientes con misterioso brote de #coronavirus

El británico @imperialcollege
 @MRC_Outbreak…"
6,Sun Jan 19 23:59:27 +0000 2020,"RT @g1: Os sintomas são febre e cansaço, acompanhados de tosse seca e, em muitos casos, dificuldades respiratórias ==&gt; https://t.co/BIVQcR6…"
7,Sun Jan 19 23:59:26 +0000 2020,"RT @CBCAlerts: China is reporting 139 new cases of pneumonia, caused by the outbreak of a new coronavirus strain that medical experts are s…"
8,Sun Jan 19 23:59:15 +0000 2020,"CHINA REPORTA 17 NUEVOS CASOS DEL MISTERIOSO ""CORONAVIRUS"" https://t.co/plkNtoibjP"
9,Sun Jan 19 23:59:11 +0000 2020,"RT @dw_espanol: #China 🇨🇳 reportó más casos de pacientes con misterioso brote de #coronavirus

El británico @imperialcollege
 @MRC_Outbreak…"
10,Sun Jan 19 23:59:09 +0000 2020,"RT @CBCAlerts: China is reporting 139 new cases of pneumonia, caused by the outbreak of a new coronavirus strain that medical experts are s…"
11,Sun Jan 19 23:59:09 +0000 2020,"RT @ChannelNewsAsia: JUST IN: Third #WuhanPneumonia death reported by China, virus confirmed to have spread to Beijing, Guangdong province…"
12,Sun Jan 19 23:59:02 +0000 2020,"RT @ChannelNewsAsia: JUST IN: Third #WuhanPneumonia death reported by China, virus confirmed to have spread to Beijing, Guangdong province…"
13,Sun Jan 19 23:58:59 +0000 2020,RT @faznet: Das Ausmaß der mysteriösen Lungenkrankheit in China ist wohl größer als bisher angenommen. Ausländische Experten schätzen die Z…
14,Sun Jan 19 23:58:56 +0000 2020,"RT @MMKavanagh: Still true: border screenings are largely ineffective against outbreaks like #Whuhan novel coronavirus.
Still true: politic…"
15,Sun Jan 19 23:58:54 +0000 2020,"RT @WHO: #China🇨🇳 has reported to WHO 139 new cases of the novel #coronavirus (2019-nCoV) in #Wuhan, #Beijing and #Shenzhen over the past t…"
16,Sun Jan 19 23:58:51 +0000 2020,"RT @dw_espanol: #China 🇨🇳 reportó más casos de pacientes con misterioso brote de #coronavirus

El británico @imperialcollege
 @MRC_Outbreak…"
17,Sun Jan 19 23:58:48 +0000 2020,RT @globaltimesnews: #Breaking: 136 more people were confirmed to have been infected by the new type of #coronavirus from Saturday to Sunda…
18,Sun Jan 19 23:58:40 +0000 2020,"RT @ZulmaCucunuba: Como muchos, estoy fascinada 🤩 y algo preocupada 😦 por lo que la ciencia abierta en solo 17 días nos ha permitido entend…"
19,Sun Jan 19 23:58:40 +0000 2020,"RT @CBCAlerts: China is reporting 139 new cases of pneumonia, caused by the outbreak of a new coronavirus strain that medical experts are s…"
20,Sun Jan 19 23:58:38 +0000 2020,RT @globaltimesnews: #Breaking: 136 more people were confirmed to have been infected by the new type of #coronavirus from Saturday to Sunda…
21,Sun Jan 19 23:58:25 +0000 2020,"JUST IN: Third #WuhanPneumonia death reported by China, virus confirmed to have spread to Beijing, Guangdong provin… https://t.co/LEdWxrxOh6"
22,Sun Jan 19 23:58:18 +0000 2020,RT @faznet: Das Ausmaß der mysteriösen Lungenkrankheit in China ist wohl größer als bisher angenommen. Ausländische Experten schätzen die Z…
