index,Unnamed: 0,date,text,sentiment_scores,subjectivity_scores
0,0,Sun Jan 19 23:59:56 +0000 2020,RT @VOANews: China Reports 139 New Coronavirus Cases Over the Weekend https://t.co/bjGSHhtATa,0.13636363636363635,0.45454545454545453
1,1,Sun Jan 19 23:59:43 +0000 2020,"RT @CBCAlerts: China is reporting 139 new cases of pneumonia, caused by the outbreak of a new coronavirus strain that medical experts are s…",0.0909090909090909,0.30303030303030304
2,2,Sun Jan 19 23:59:43 +0000 2020,"RT @dw_espanol: #China 🇨🇳 reportó más casos de pacientes con misterioso brote de #coronavirus

El británico @imperialcollege
 @MRC_Outbreak…",0.0,0.0
3,3,Sun Jan 19 23:59:41 +0000 2020,"RT @ZulmaCucunuba: Como muchos, estoy fascinada 🤩 y algo preocupada 😦 por lo que la ciencia abierta en solo 17 días nos ha permitido entend…",0.0,0.0
4,4,Sun Jan 19 23:59:36 +0000 2020,😷 #coronavirus https://t.co/gJdutUteOe,0.0,0.0
6,6,Sun Jan 19 23:59:27 +0000 2020,"RT @g1: Os sintomas são febre e cansaço, acompanhados de tosse seca e, em muitos casos, dificuldades respiratórias ==&gt; https://t.co/BIVQcR6…",0.0,0.0
8,8,Sun Jan 19 23:59:15 +0000 2020,"CHINA REPORTA 17 NUEVOS CASOS DEL MISTERIOSO ""CORONAVIRUS"" https://t.co/plkNtoibjP",0.0,0.0
11,11,Sun Jan 19 23:59:09 +0000 2020,"RT @ChannelNewsAsia: JUST IN: Third #WuhanPneumonia death reported by China, virus confirmed to have spread to Beijing, Guangdong province…",0.2,0.5
13,13,Sun Jan 19 23:58:59 +0000 2020,RT @faznet: Das Ausmaß der mysteriösen Lungenkrankheit in China ist wohl größer als bisher angenommen. Ausländische Experten schätzen die Z…,0.0,0.0
14,14,Sun Jan 19 23:58:56 +0000 2020,"RT @MMKavanagh: Still true: border screenings are largely ineffective against outbreaks like #Whuhan novel coronavirus.
Still true: politic…",0.30476190476190473,0.5761904761904763
15,15,Sun Jan 19 23:58:54 +0000 2020,"RT @WHO: #China🇨🇳 has reported to WHO 139 new cases of the novel #coronavirus (2019-nCoV) in #Wuhan, #Beijing and #Shenzhen over the past t…",-0.05681818181818182,0.3522727272727273
17,17,Sun Jan 19 23:58:48 +0000 2020,RT @globaltimesnews: #Breaking: 136 more people were confirmed to have been infected by the new type of #coronavirus from Saturday to Sunda…,0.34545454545454546,0.6515151515151515
21,21,Sun Jan 19 23:58:25 +0000 2020,"JUST IN: Third #WuhanPneumonia death reported by China, virus confirmed to have spread to Beijing, Guangdong provin… https://t.co/LEdWxrxOh6",0.2,0.5
25,25,Sun Jan 19 23:57:57 +0000 2020,2020-01-20 02:51:59 Health Commission of Guangdong Province announced: 2 confirmed on  #WuhanPneumonia… https://t.co/2iiUHLg9lt,0.4,1.0
27,27,Sun Jan 19 23:57:52 +0000 2020,"RT @OliviaSiongCNA: Beijing has just confirmed two cases of the coronavirus, Chinese media reports",0.2,0.5
29,29,Sun Jan 19 23:57:41 +0000 2020,Rapidly spreading: Chinese authorities confirm 136 NEW cases of deadly virus in 2 days https://t.co/yey8bjpasG https://t.co/jOYY93WBoW,-0.02121212121212122,0.28484848484848485
30,30,Sun Jan 19 23:57:39 +0000 2020,"RT @Rover829: SHANGHAI, Jan 20 (Reuters) - China on Monday reported 139 new cases of pneumonia over the weekend, caused by the outbreak of…",0.13636363636363635,0.45454545454545453
31,31,Sun Jan 19 23:57:34 +0000 2020,"RT @WHO: Q: What can I do to protect myself from #coronavirus?

A: https://t.co/PKzKaO2yfK https://t.co/eNhlhR0PEq",0.0,0.0
32,32,Sun Jan 19 23:57:33 +0000 2020,US airports screen passengers as coronavirus outbreak expands https://t.co/VpLbIYLonj #news https://t.co/FXV2YGI0Wk,0.0,0.0
33,33,Sun Jan 19 23:57:30 +0000 2020,"RT @MariettaDaviz: The true scale of the SARS-like virus in China is likely far bigger than reported, some estimates 1,723 people infected.…",0.11249999999999999,0.7875
34,34,Sun Jan 19 23:57:28 +0000 2020,"China is reporting 139 new cases of pneumonia, caused by the outbreak of a new coronavirus strain that medical expe… https://t.co/fofNC8z7N7",0.0909090909090909,0.30303030303030304
35,35,Sun Jan 19 23:57:24 +0000 2020,RT @strangegarden7: Rapidly spreading: Chinese authorities confirm 136 NEW cases of deadly virus in 2 days — RT World News https://t.co/7tg…,-0.02121212121212122,0.28484848484848485
37,37,Sun Jan 19 23:57:22 +0000 2020,RT @W7VOA: Beijing Daxing Health Commission confirms 2 #coronavirus cases; Guangdong Province confirms 1 case. #China,0.0,0.0
38,38,Sun Jan 19 23:57:19 +0000 2020,"RT @WHO: As more novel #coronavirus (2019-nCoV) cases are identified and more analysis undertaken, we will get a clearer picture of disease…",0.5,0.5
39,39,Sun Jan 19 23:57:17 +0000 2020,Rapidly spreading: Chinese authorities confirm 136 NEW cases of deadly virus in 2 days — RT World News https://t.co/2Ytp2gqBK1,-0.02121212121212122,0.28484848484848485
40,40,Sun Jan 19 23:57:16 +0000 2020,RT @HuarenNews: 帝国理工的流行病学者估算，#武汉肺炎 的新冠状病毒的实际感染者，大约有1700例，远多于公布数字。其计算模型是根据境外发现的外国游客数量，以及武汉天河机场每天出入境的国际游客数量，估算出感染概率，再根据武汉市的总人口数，算出实际发病人数。英国人又…,0.0,0.0
41,41,Sun Jan 19 23:57:12 +0000 2020,"RT @WHO: For the first time, there are novel #coronavirus (2019-nCoV) cases reported outside of #Wuhan, within #China🇨🇳.
These cases were i…",0.125,0.19166666666666665
48,48,Sun Jan 19 23:56:43 +0000 2020,"RT @CGTNOfficial: Beijing has confirmed that for the first time, two people have been diagnosed with the #coronavirus. They have a history…",0.325,0.6666666666666666
49,49,Sun Jan 19 23:56:43 +0000 2020,"RT @W7VOA: According to health officials in Wuhan, #China, 136 new cases of the #coronavirus emerged during the weekend.",0.13636363636363635,0.45454545454545453
52,52,Sun Jan 19 23:56:36 +0000 2020,"RT @BNONews: BREAKING: Japan reports 1st case of infection with new type of coronavirus, making it the 2nd case outside of China - Kyodo",0.04545454545454545,0.16818181818181818
53,53,Sun Jan 19 23:56:35 +0000 2020,RT @GordonGChang: The #WuhanPneumonia has now spread across #China. This coronavirus will infect even more during the upcoming Lunar New Ye…,0.3181818181818182,0.4772727272727273
54,54,Sun Jan 19 23:56:32 +0000 2020,"RT @nytimes: Chinese authorities said on Sunday that 17 more people had been infected with a mysterious new virus, raising questions about…",0.1590909090909091,0.48863636363636365
58,58,Sun Jan 19 23:56:18 +0000 2020,"RT @WHO: WHO urges countries to continue preparedness activities for the novel #coronavirus (2019-nCoV), and continue sharing of informatio…",0.0,0.0
59,59,Sun Jan 19 23:56:16 +0000 2020,"RT @WHO: Practise #FoodSafety:
Even in areas experiencing outbreaks, 🥩🍗 meat products can be safely consumed if these items are cooked thor…",0.5,0.5
60,60,Sun Jan 19 23:56:13 +0000 2020,China steps up efforts to contain growing coronavirus outbreak - https://t.co/hhQDdIP7xj https://t.co/ngMIRBHL0W,0.0,0.0
61,61,Sun Jan 19 23:56:08 +0000 2020,"RT @WHO: Protect yourself &amp; others from getting sick:
5⃣ Practice #FoodSafety 🍽 

👉🏼 https://t.co/Dcv7C9iBGy

#coronavirus https://t.co/8Fp…",-0.7142857142857143,0.8571428571428571
62,62,Sun Jan 19 23:56:04 +0000 2020,"RT @OliviaSiongCNA: Beijing has just confirmed two cases of the coronavirus, Chinese media reports https://t.co/oUrDgel5qH",0.2,0.5
64,64,Sun Jan 19 23:56:01 +0000 2020,RT @Potrblog: Interesting that #Dogs / #DogMeat are left out as the probable source of the #SARS like #coronavirus outbreak spreading from…,0.25,0.25
65,65,Sun Jan 19 23:55:58 +0000 2020,"RT @WHO: Protect others from getting sick:
2⃣ Completely cover your mouth &amp; nose with a tissue or a sleeve or flexed elbow when coughing or…",-0.30714285714285716,0.6285714285714286
66,66,Sun Jan 19 23:55:58 +0000 2020,"RT @WHO: How to handwash?
Use 🧼 and water for at least 40-60 seconds

How to handrub?
Use alcohol-based handrub 🧴 for 20-30 seconds 

#coro…",-0.3,0.4
71,71,Sun Jan 19 23:55:43 +0000 2020,@AmbCuiTiankai Bio warfare. Observations https://t.co/scsGURSk7K,0.0,0.0
72,72,Sun Jan 19 23:55:42 +0000 2020,"RT @hayesluk: 59 new cases on 18th
77 new cases on 19th
1 new dead case

66 male 70 female

25 yo to 89 yo

onset before 18th jan

total ca…",0.029870129870129863,0.3971861471861472
73,73,Sun Jan 19 23:55:35 +0000 2020,Los #coronavirus causan desde gripa hasta enfermedad grave. Para reducir riesgo:👏🏽Higiene de manos 😤Tapa boca-nariz… https://t.co/e2KWpiw3xq,0.0,0.0
74,74,Sun Jan 19 23:55:31 +0000 2020,"RT @WHO: Wash your 🖐🏼 with 🧼 and running water when hands are visibly dirty.

If your 🖐🏼 are not visibly dirty, wash them with 🧼 and water…",-0.6,0.8
75,75,Sun Jan 19 23:55:22 +0000 2020,"RT @BNONews: BREAKING: Chinese city of Wuhan reports 136 new cases of new type of coronavirus, raising total there to 198",0.06818181818181818,0.4147727272727273
78,78,Sun Jan 19 23:55:18 +0000 2020,"RT @WHO: Q: What is a #coronavirus?

A: Coronaviruses are a large family of viruses that are known to cause illness ranging from the common…",0.21428571428571427,0.42857142857142855
